id,titulo,descricao,categoria,competenciaRelacionada,tipo,youtubeUrl,thumbnailUrl,duracao,instrutor,nivel,programId,isActive,ordem,createdBy,createdAt,updatedAt
1,Liderança Situacional,Aprenda os fundamentos da liderança situacional,Liderança,Liderança,gratuito,https://youtu.be/lNBpjF902Ss?si=bOGoyx8vGHWsnrtC,https://img.youtube.com/vi/lNBpjF902Ss/mqdefault.jpg,13min,Dina Makiyama,intermediario,,1,1,1,2026-03-08 23:42:55,2026-03-09 00:34:19
30001,Emoções_Inteligência Emocional,"A inteligência emocional e o equilíbrio emocional são conceitos relacionados, mas têm significados ligeiramente diferentes.

A inteligência emocional refere-se à capacidade de reconhecer, compreender e gerenciar as próprias emoções e as emoções dos outros. Envolve habilidades como a autoconsciência emocional, a autorregulação emocional, a empatia e as habilidades sociais. Uma pessoa com alta inteligência emocional é capaz de reconhecer suas próprias emoções e utilizá-las de maneira construtiva, lidar com o estresse de forma eficaz, compreender as emoções dos outros e estabelecer relacionamentos saudáveis e produtivos.

Por outro lado, o equilíbrio emocional refere-se ao estado de equilíbrio e estabilidade das emoções de uma pessoa. Uma pessoa emocionalmente equilibrada é capaz de manter um estado de calma e tranquilidade, mesmo diante de situações estressantes ou desafiadoras. Ela possui a capacidade de lidar com as emoções de forma saudável, sem ser excessivamente influenciada por elas. O equilíbrio emocional envolve o reconhecimento e a aceitação das emoções, mas também a capacidade de regular e controlar as reações emocionais de maneira adequada.

Em resumo, a inteligência emocional diz respeito às habilidades e capacidades relacionadas ao reconhecimento e gerenciamento das emoções, enquanto o equilíbrio emocional refere-se ao estado de estabilidade e controle emocional de uma pessoa. Ambos os conceitos são importantes para o bem-estar emocional e podem ser desenvolvidos e aprimorados com prática e autoconhecimento.",Inteligência Emocional,Inteligência Emocional,gratuito,https://youtu.be/Yf_rQwBAkB4?si=Tx30sbaqfW3GmKI_,https://img.youtube.com/vi/Yf_rQwBAkB4/mqdefault.jpg,33min,Dina Makiyama,iniciante,,1,0,1,2026-03-09 00:21:07,2026-03-09 00:21:07
30002,Liderança e Mediação de Conflitos: Por Que Todo Líder Precisa Desta Habilidade?,"E aí, líderes! 👋 Você sabia que a mediação não é apenas para advogados ou terapeutas? Ela é uma das ferramentas mais poderosas que um gestor de pessoas pode ter para criar um ambiente de trabalho harmonioso e produtivo.

Neste vídeo, mergulhamos fundo na intersecção entre Liderança Eficaz e as Técnicas de Mediação de Conflitos. Se você quer parar de apagar incêndios e começar a construir pontes na sua equipe, este conteúdo é para você! Vamos te mostrar como a resolução de conflitos é uma habilidade de liderança essencial.

💡 O que você vai aprender neste vídeo:
A diferença crucial entre gerenciar e mediar um conflito.

Por que a mediação aumenta a retenção de talentos e a inovação.

As 3 habilidades essenciais de mediação que todo líder deve dominar.

Casos práticos de como usar a escuta ativa e a imparcialidade para resolver disputas complexas.

O impacto da mediação na cultura organizacional (e por que isso afeta seus resultados).",Gestão de Pessoas,Gestão de Conflitos,gratuito,https://youtu.be/Lmo60hu3238?si=T9FkLcZNwTM3qZzJ,https://img.youtube.com/vi/Lmo60hu3238/mqdefault.jpg,6min,Dina Makiyama,iniciante,,1,0,1,2026-03-09 00:25:41,2026-03-09 00:25:41
30003,Como lidar com pessoas difíceis,"Conviver com pessoas difíceis é uma realidade presente em praticamente todos os ambientes — no trabalho, na família ou nas relações do dia a dia. Neste vídeo, você vai entender por que algumas pessoas apresentam comportamentos desafiadores e aprender estratégias práticas para lidar com essas situações sem perder o equilíbrio emocional.

A partir de reflexões simples e aplicáveis, o conteúdo mostra como manter a calma, comunicar-se com assertividade, estabelecer limites saudáveis e focar na solução em vez do conflito. Desenvolver essas habilidades ajuda a preservar relacionamentos, reduzir o estresse e fortalecer sua inteligência emocional.

Mais do que tentar mudar o outro, o vídeo convida você a refletir sobre como administrar suas próprias reações e atitudes, transformando interações difíceis em oportunidades de crescimento pessoal e profissional.",Gestão de Pessoas,Inteligência Emocional,gratuito,https://youtu.be/YfwW-yKC5L4?si=Iw2K7wiY_qS_U_fv,https://img.youtube.com/vi/YfwW-yKC5L4/mqdefault.jpg,9min,Dina Makiyama,iniciante,,1,0,1,2026-03-09 00:31:00,2026-03-09 00:31:00
150001,Lider 4.0,,Gestão de Pessoas,Gestão de Equipes,gratuito,https://youtu.be/iGII97eFXiE?si=jk5c2gsCvszczw0B,https://img.youtube.com/vi/iGII97eFXiE/mqdefault.jpg,15min,Dina Makyama,iniciante,,1,0,1,2026-03-10 18:16:13,2026-03-10 18:16:13
150002,Gestão de Pessoas,,Gestão de Pessoas,Gestão de Equipes,gratuito,https://youtu.be/9Vb_CqXqNJg?si=rNfam-OIniv8AlQq,https://img.youtube.com/vi/9Vb_CqXqNJg/mqdefault.jpg,7 Min,Dina Makyama,iniciante,,1,0,1,2026-03-10 18:19:23,2026-03-10 18:19:23
150003,Competências Básicas,,Desenvolvimento Pessoal,Autopercepção,gratuito,https://youtu.be/PrF53gLnYSU?si=1PQ0WQO2vCAZ_Hoj,https://img.youtube.com/vi/PrF53gLnYSU/mqdefault.jpg,40 Min,Dina Makiyama,iniciante,,1,0,1,2026-03-10 20:03:09,2026-03-10 20:03:09
150004,Competências Essenciais,,Gestão de Pessoas,Adaptabilidade,gratuito,https://youtu.be/R97lwsYwhv0?si=a8kXtxQ7NTwNimLT,https://img.youtube.com/vi/R97lwsYwhv0/mqdefault.jpg,38 Min,Dina Makiyama,iniciante,,1,0,1,2026-03-10 20:06:06,2026-03-10 20:06:06
150005,Competências Master,,Gestão de Pessoas,Gestão de Equipes,gratuito,https://youtu.be/HeAYdPqUjuQ?si=z5d8PNyqK8Fu0HhZ,https://img.youtube.com/vi/HeAYdPqUjuQ/mqdefault.jpg,28 Min,Dina Makiyama,iniciante,,1,0,1,2026-03-10 20:08:24,2026-03-10 20:08:24
150006,Inteligência Emocional,,Inteligência Emocional,Inteligência Emocional,gratuito,https://youtu.be/7NtaYTJ9w5w?si=knfxTht2g2R1GbDl,https://img.youtube.com/vi/7NtaYTJ9w5w/mqdefault.jpg,20 Min,Dina Makiyama,intermediario,,1,0,1,2026-03-10 20:11:37,2026-03-10 20:11:37
